"song_list","singer_list"
"The Man","Taylor Swift"
"Just My Type","KELLA"
"How To Be Lonely","Rita Ora"
"PAY ME BACK!","ILIRA"
"Please Don¡¯t Touch","RAYE"
"Skyline","Madism"
"Sue Me","Sabrina Carpenter"
"Don't Feel Like Crying","Sigrid"
"Cruel Summer","Taylor Swift"
"Sober","Selena Gomez"
"Strawberry Shortcake","Melanie Martinez"
"One Too Many","FLETCHER"
"smiling when i die","Sasha Alex Sloan"
"GET OFF MY D!CK","ILIRA"
"makeup drawer","Isaac Dunbar"
"This Is How U Feel","Loote"
"lost","Loote"
"Graveyard","Halsey"
"ROYALTY","ILIRA"
"Side Effects","Carlie Hanson"
"Just My Type","The Vamps"
"I Love Me","Demi Lovato"
"NASA","Ariana Grande"
"Run Away With Me","Carly Rae Jepsen"
"Look At Her Now","Selena Gomez"
"Find U Again (feat. Camila Cabello)","Mark Ronson"
"Last Hurrah","Bebe Rexha"
"Feel Me","Selena Gomez"
"Never Really Over","Katy Perry"
"Cool","Dua Lipa"
"Small Talk","Katy Perry"
"It's You","Ali Gatie"
"are you sure?","Loote"
"Nights With You","M¨ª"
"Close To Me","Ellie Goulding, Diplo, Swae Lee"
"everything i wanted","Billie Eilish"
"Rescue Me","OneRepublic"
"Lay Low","Orkid"
"Let You Love Me","Rita Ora"
"Call You Mine (feat. Bebe Rexha)","The Chainsmokers"
"Want You Back","Grey, LEON"
"Runaway","Sasha Alex Sloan"
"Slow Grenade","Ellie Goulding, Lauv"
"Trampoline","SHAED, ZAYN"
"Don't Call Me Up","Mabel"
"Sweet Little Lies","bulow"
"Liar","Camila Cabello"
"Good Thing","Zedd, Kehlani"
"BIG PLANS","Why Don't We"
"Finally // beautiful stranger","Halsey"
