"song_list","singer_list"
"Whistle","Ahntow"
"Walk with me","GXNXSIS, Ahntow"
"헤픈 우연","헤이즈 (Heize)"
"너의 번호를 누르고 (Prod. 영화처럼)","#안녕"
"If You Love Me (Feat. 박재범)","NS 윤지"
"너 때문에","애프터스쿨"
"Butter","방탄소년단"
"사랑하자","SG 워너비"
"어떻게 내가 널 잊고 살아","주호"
"밤하늘의 저 별처럼","헤이즈 (Heize), 펀치 (Punch)"
"너의 곁에만 맴돌아","노을"
"나가","먼데이 키즈 (Monday Kiz), 이예준"
"Strange (feat. Hillary Smith) (Feat. Hillary Smith)","Kris Bowers"
"My Everything","NCT U"
"Girls Like You","Vitamin String Quartet"
"마음이 별이 되어","장한별"
"붙잡고 싶어도","#안녕"
"밤하늘의 별을(2020)","경서"
"그날에 나는 맘이 편했을까","이예준"
"In My Blood","Shawn Mendes"
"Richter: Recomposed By Max Richter: Vivaldi, The Four Seasons - Spring 1","Max Richter, Daniel Hope, Konzerthaus Kammerorchester Berlin, Andre De Ridder"
"이 노래가 뭐라고","임한별"
"나의 유일한 너에게","시우민 (XIUMIN)"
"Wildest Dreams","Duomo"
"Here I am","조현아 (어반자카파)"
"In My Blood","Vitamin String Quartet"
"오래된 노래","스탠딩 에그"
"어차피 헤어진 사이","이우, 하이디(소나무)"
"왜 변하니","경서예지"
"thank u, next","Vitamin String Quartet"
"Raise The Roof","NCT U"
"thank u, next","Ariana Grande"
"발라드가 싫어졌어","진민호"
"happy","백현 (BAEKHYUN)"
"늦은 밤 너의 집 앞 골목길에서","노을"
"미안하다는 그 말","지수현"
"Bad Boy","청하, Christopher"
"톡톡 (Rainy Day)","레인즈 (RAINZ)"
"오늘따라 비가 와서 그런가 봐","솔지"
"Krystal","오마이걸 (OH MY GIRL)"
"좋은 사람 있으면 소개시켜줘","조이 (JOY)"
"꽃차 (Flower Tea)","오마이걸 (OH MY GIRL)"
"처음처럼","엠씨더맥스 (M.C the MAX)"
"너를 그리는 시간 (Drawing Our Moments)","태연 (TAEYEON)"
"나의 오랜 연인에게","다비치"
"Forest of piano","Ahntow"
"Like a Star in the Sky","JLofi"
"잔상","도란 (Doran)"
"Rainy Day","JLofi"
"비일기","한승 (Hanseung)"
