"song_list","singer_list"
"Make A Wish (Birthday Song)","NCT U"
"흰 눈이 내리면 넌 올거야","로코베리"
"눈","박재정"
"The Christmas Song","JLofi"
"Into the Unknown (From ""Frozen 2""/Soundtrack Version)","Idina Menzel, AURORA"
"사랑 속도","오마이걸X유재환"
"Show Yourself (From ""Frozen 2""/Soundtrack Version)","Idina Menzel, Evan Rachel Wood"
"그리워하다","비투비"
"All Is Found (From ""Frozen 2""/Soundtrack Version)","Evan Rachel Wood"
"미안해","양다일"
"Some Things Never Change (From ""Frozen 2""/Soundtrack Version)","Kristen Bell, Idina Menzel, Josh Gad, Jonathan Groff, Cast of Frozen 2"
"180도","벤"
"When I Am Older (From ""Frozen 2""/Soundtrack Version)","Josh Gad"
"사계 (하루살이)","엠씨더맥스 (M.C the MAX)"
"Lost in the Woods (From ""Frozen 2""/Soundtrack Version)","Jonathan Groff"
"넘쳐흘러","엠씨더맥스 (M.C the MAX)"
"Into the Unknown (From ""Frozen 2""/Panic! At The Disco Version)","Panic! At The Disco"
"그때가 좋았어","케이시 (Kassy)"
"All Is Found (Lullaby Ending) (From ""Frozen 2""/Outtake)","Evan Rachel Wood"
"아시나요","김연지"
"All Is Found (From ""Frozen 2""/Kacey Musgraves Version)","Kacey Musgraves"
"어땠을까","장덕철"
"Lost in the Woods (From ""Frozen 2""/Weezer Version)","Weezer"
"아주 먼 훗날","SE O (세오)"
"I Seek the Truth (From ""Frozen 2""/Outtake)","Kristen Anderson-Lopez, Patti Murin"
"타이밍(Timing)","B1A4, 오마이걸 (OH MY GIRL), 온앤오프 (ONF)"
"Unmeltable Me (From ""Frozen 2""/Outtake)","Josh Gad"
"Heart Shaker","TWICE (트와이스)"
"가만히 당신을","이영훈"
"사람이 좋아","진해 (ZeenHae)"
"한숨 (Feat. 손아름 With 전용준 Trio)","GRACE"
"여전히,난","진해 (ZeenHae)"
"잠이 오지 않는 밤에","플랏나인"
"Blessing you","Rallas IP"
"난로","Rallas IP"
"After your wedding","Rallas IP"
"첫눈처럼 너에게 가겠다","우리동네피아노"
"Sweet Girl","B1A4"
"Winter Story","우리동네피아노"
"Lonely (없구나)","B1A4"
"CLOSER","오마이걸 (OH MY GIRL)"
"거짓말이야","B1A4"
"찾아가세요","러블리즈"
"I Was Born To Love You","Queen"
"Bohemian Rhapsody (2011 Remaster)","Queen"
"Let It Snow","Glee Cast"
"I Saw Mommy Kissing Santa Claus","Jessica Simpson"
"Last Christmas","Taylor Swift"
"혼자서도 잘해요 (I Can Do It Alone)","천용성"
"I Do I Do","시크릿"
