"song_list","singer_list"
"새벽열차","페퍼톤스 (Peppertones)"
"오늘은 맑음","투어리스트"
"Today","Startline"
"Welcome New Days (Feat. 은석)","아키템포"
"무지개 하늘 걸어","민쇼크 MEANSHOCK"
"Little Baby","노브레인"
"부산 Fantasy","WAZ"
"Fly Away","클럽에이스"
"Hello, 겨울","런치송 프로젝트"
"Beautiful days","밴드기린 (Bandgirin)"
"그림일기","BehindtheMoon"
"양양 파도타기 좋은 날","락킷걸"
"Remember","Sweet Guerillaz"
"별하늘캠핑 (starry camping)","A.mole"
"17","다양성"
"Wind Rider","라날로그 (Lanalogue)"
"너에게 날 데려가","달빛선율"
"참 뜨거웠던, 좀 모자랐었던 (Feat. 승언)","반디시티 (Vandy City)"
"너와 나의 아르카디아(Feat.마호 of Adios audio)","디핵 (D-Hack), PATEKO (파테코)"
"다른 봄 (feat. 송희란)","Truears Project"
"Present","Warak"
"조깅","LUCY"
"한 페이지가 될 수 있게","DAY6 (데이식스)"
"지나고나야","Afro Maria"
"끝없이 우리는","Adios Audio"
"아이셔","피아니카"
"Yes You are","피아 (PIA)"
"너를 원해","트랜스픽션"
"뜨거운 안녕 (Vocal 이지형)","토이, 이지형"
"청춘! 모노스타","쿨에이지"
"무설탕소녀 (Sugarfree Girl)","코인클래식 (Coin Classic)"
"문득","카피머신"
"새 희망가","알케미스트"
"잘 지내니 좀 어떠니 (KBS '1박 2일' 삽입곡)","좋아서하는밴드"
"Running (워리어스 Live Ver.)","정재형"
"고백해서 혼내주자","갓 오브 유니버스 (God Of Universe)"
"낚시왕의 사랑","전기뱀장어 (THE ELECTRICEELS)"
"Ordinary Days (Feat. 이경록)","이진아"
"아주 작은","이디어츠 (Idiots)"
"그녀를 만나는 곳 100m 전","이상우, 바버렛츠 (The Barberettes)"
"여름날 (Feat. 페퍼톤스 신재평)","유희열"
"Me Before You","위수 (WISUE)"
"No Eat","웁스나이스"
"어른처럼 생겼네","옥상달빛"
"너의 노래","Yellow Monsters"
"들려주고 싶었던","이승윤"
"TOMORROW","Andersen (안데르센)"
"지금이 우리의 전부","안녕하신가영"
"Riders On The Hill","악퉁"
"ZERO","드라이브 샤워"
